
=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

Run 1
Fold 6: 0.941590
Fold 7: 0.939857
Fold 8: 0.944750
Fold 9: 0.941590
Fold 10: 0.942610
Meso Accuracy: 0.943519

Run 58
Fold 1: 0.942004
Fold 2: 0.945775
Fold 3: 0.942819
Fold 4: 0.941800
Fold 5: 0.943629
Fold 6: 0.943731
Fold 7: 0.943323
Fold 8: 0.944037
Fold 9: 0.948012
Fold 10: 0.943221
Meso Accuracy: 0.943835

Run 59
Fold 1: 0.942615
Fold 2: 0.941188
Fold 3: 0.947406
Fold 4: 0.940883
Fold 5: 0.941590
Fold 6: 0.947401
Fold 7: 0.944139
Fold 8: 0.941998
Fold 9: 0.946483
Fold 10: 0.943527
Meso Accuracy: 0.943723

Run 60
Fold 1: 0.938742
Fold 2: 0.946285
Fold 3: 0.943431
Fold 4: 0.943533
Fold 5: 0.942202
Fold 6: 0.943935
Fold 7: 0.943731
Fold 8: 0.943833
Fold 9: 0.946381
Fold 10: 0.942610
Meso Accuracy: 0.943468

Run 61
Fold 1: 0.945571
Fold 2: 0.944246
Fold 3: 0.943227
Fold 4: 0.941290
Fold 5: 0.940061
Fold 6: 0.943323
Fold 7: 0.943833
Fold 8: 0.944139
Fold 9: 0.944241
Fold 10: 0.943221
Meso Accuracy: 0.943315

Run 62
Fold 1: 0.946183
Fold 2: 0.944858
Fold 3: 0.944858
Fold 4: 0.942106
Fold 5: 0.944343
Fold 6: 0.944241
Fold 7: 0.944750
Fold 8: 0.943833
Fold 9: 0.943629
Fold 10: 0.943833
Meso Accuracy: 0.944263

Run 63
Fold 1: 0.941902
Fold 2: 0.944552
Fold 3: 0.943940
Fold 4: 0.943023
Fold 5: 0.946891
Fold 6: 0.945158
Fold 7: 0.945464
Fold 8: 0.946891
Fold 9: 0.938736
Fold 10: 0.937411
Meso Accuracy: 0.943397

Run 64
Fold 1: 0.941188
Fold 2: 0.946183
Fold 3: 0.943940
Fold 4: 0.944450
Fold 5: 0.943629
Fold 6: 0.947910
Fold 7: 0.942813
Fold 8: 0.941590
Fold 9: 0.944139
Fold 10: 0.942304
Meso Accuracy: 0.943815

Run 65
Fold 1: 0.943940
Fold 2: 0.946591
Fold 3: 0.940985
Fold 4: 0.943329
Fold 5: 0.939755
Fold 6: 0.945464
Fold 7: 0.945362
Fold 8: 0.943731
Fold 9: 0.943935
Fold 10: 0.941488
Meso Accuracy: 0.943458

Run 66
Fold 1: 0.942717
Fold 2: 0.941392
Fold 3: 0.943533
Fold 4: 0.945367
Fold 5: 0.944546
Fold 6: 0.942406
Fold 7: 0.945056
Fold 8: 0.944343
Fold 9: 0.943119
Fold 10: 0.942915
Meso Accuracy: 0.943540

Run 67
Fold 1: 0.943023
Fold 2: 0.945164
Fold 3: 0.940679
Fold 4: 0.940781
Fold 5: 0.945973
Fold 6: 0.937717
Fold 7: 0.945056
Fold 8: 0.943017
Fold 9: 0.946177
Fold 10: 0.945872
Meso Accuracy: 0.943346

Run 68
Fold 1: 0.946489
Fold 2: 0.940475
Fold 3: 0.942921
Fold 4: 0.942208
Fold 5: 0.942508
Fold 6: 0.946177
Fold 7: 0.945668
Fold 8: 0.945464
Fold 9: 0.940469
Fold 10: 0.942304
Meso Accuracy: 0.943468

Run 69
Fold 1: 0.946692
Fold 2: 0.943533
Fold 3: 0.943125
Fold 4: 0.944348
Fold 5: 0.942508
Fold 6: 0.941488
Fold 7: 0.946279
Fold 8: 0.942304
Fold 9: 0.944241
Fold 10: 0.945464
Meso Accuracy: 0.943998

Run 70
Fold 1: 0.945877
Fold 2: 0.944960
Fold 3: 0.945673
Fold 4: 0.944552
Fold 5: 0.943527
Fold 6: 0.943731
Fold 7: 0.940775
Fold 8: 0.941284
Fold 9: 0.940877
Fold 10: 0.945566
Meso Accuracy: 0.943682

Run 71
Fold 1: 0.942514
Fold 2: 0.943329
Fold 3: 0.942412
Fold 4: 0.944246
Fold 5: 0.945973
Fold 6: 0.944648
Fold 7: 0.943833
Fold 8: 0.945464
Fold 9: 0.943323
Fold 10: 0.942610
Meso Accuracy: 0.943835

Run 72
Fold 1: 0.943023
Fold 2: 0.942412
Fold 3: 0.940475
Fold 4: 0.946591
Fold 5: 0.948420
Fold 6: 0.947299
Fold 7: 0.938022
Fold 8: 0.941182
Fold 9: 0.943425
Fold 10: 0.946891
Meso Accuracy: 0.943774

Run 73
Fold 1: 0.940271
Fold 2: 0.943839
Fold 3: 0.945979
Fold 4: 0.945979
Fold 5: 0.943629
Fold 6: 0.943935
Fold 7: 0.947401
Fold 8: 0.942610
Fold 9: 0.943221
Fold 10: 0.942712
Meso Accuracy: 0.943957

Run 74
Fold 1: 0.938335
Fold 2: 0.942615
Fold 3: 0.945062
Fold 4: 0.946998
Fold 5: 0.940061
Fold 6: 0.945260
Fold 7: 0.944954
Fold 8: 0.946279
Fold 9: 0.944037
Fold 10: 0.944852
Meso Accuracy: 0.943845

Run 75
Fold 1: 0.947406
Fold 2: 0.942310
Fold 3: 0.944450
Fold 4: 0.945367
Fold 5: 0.939042
Fold 6: 0.942610
Fold 7: 0.939755
Fold 8: 0.943221
Fold 9: 0.946687
Fold 10: 0.944648
Meso Accuracy: 0.943550

Run 76
Fold 1: 0.939660
Fold 2: 0.942717
Fold 3: 0.943940
Fold 4: 0.946998
Fold 5: 0.944037
Fold 6: 0.942813
Fold 7: 0.946993
Fold 8: 0.940163
Fold 9: 0.946483
Fold 10: 0.942100
Meso Accuracy: 0.943590

Run 77
Fold 1: 0.944348
Fold 2: 0.939863
Fold 3: 0.941800
Fold 4: 0.941087
Fold 5: 0.945973
Fold 6: 0.941386
Fold 7: 0.944139
Fold 8: 0.943935
Fold 9: 0.943323
Fold 10: 0.946075
Meso Accuracy: 0.943193

Run 78
Fold 1: 0.945979
Fold 2: 0.942310
Fold 3: 0.944960
Fold 4: 0.944858
Fold 5: 0.941794
Fold 6: 0.943935
Fold 7: 0.944139
Fold 8: 0.942100
Fold 9: 0.941998
Fold 10: 0.946075
Meso Accuracy: 0.943815

Run 79
Fold 1: 0.944042
Fold 2: 0.942514
Fold 3: 0.946081
Fold 4: 0.943839
Fold 5: 0.941896
Fold 6: 0.944444
Fold 7: 0.945158
Fold 8: 0.942304
Fold 9: 0.943833
Fold 10: 0.938328
Meso Accuracy: 0.943244

=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

Run 1
Fold 1: 0.943940
Fold 2: 0.947508
Fold 3: 0.944450
Fold 4: 0.940985
Fold 5: 0.938940
Fold 6: 0.943323
Fold 7: 0.946483
Fold 8: 0.944444
Fold 9: 0.946789
Fold 10: 0.939755
Meso Accuracy: 0.943662

Run 2
Fold 1: 0.940169
Fold 2: 0.941188
Fold 3: 0.945877
Fold 4: 0.945266
Fold 5: 0.941488
Fold 6: 0.945056
Fold 7: 0.946687
Fold 8: 0.943629
Fold 9: 0.943935
